country,Region indicator,"Life ladder, 2015-2017","Standard error, life ladder, 2015-2017","Log of GDP per person, 2015-2017","GDP per person, 2015-2017","Healthy life expectancy, 2015-2017","Social support, 2015-2017","Standard error, social support, 2015-2017","Freedom to make life choices, 2015-2017","Standard error, freedom to make life choices, 2015-2017","Generosity, 2015-2017, without adjustment for GDP per person","Standard error, generosity, 2015-2017","Perceptions of corruption, 2015-2017","Standard error, perceptions of corruption, 2015-2017"
Central African Republic,Sub-Saharan Africa,3.0829975605011,0.0732560530304909,6.47370624542236,647.880493164063,44.3124198913574,0.305565357208252,0.0126958768814802,0.630962014198303,0.013776701875031,0.167455777525902,0.0104317329823971,0.875871241092682,0.00849944166839123
Chad,Sub-Saharan Africa,4.30058717727661,0.0611680001020432,7.54616212844849,1893.4619140625,45.65771484375,0.67619252204895,0.0110111339017749,0.533072292804718,0.0117668686434627,0.171422481536865,0.00891311466693878,0.835992634296417,0.00835415907204151
Chile,Latin America and Caribbean,6.47618913650513,0.0452197305858135,10.0303153991699,22704.431640625,69.4377136230469,0.849452078342438,0.00808884110301733,0.736905336380005,0.00994580332189798,0.387090563774109,0.0108068389818072,0.834768056869507,0.00723674846813083
China,East Asia,5.24579811096191,0.0248252507299185,9.57429599761963,14390.103515625,69.1553039550781,0.772204279899597,0.00484745064750314,0.876166462898254,0.00707929255440831,0.0917000398039818,0.00348743167705834,,
Colombia,Latin America and Caribbean,6.26008176803589,0.0501319468021393,9.48151206970215,13115.001953125,63.9825706481934,0.893501877784729,0.00608390383422375,0.82118684053421,0.00837197341024876,0.191339626908302,0.00827096961438656,0.873871207237244,0.00579198775812984
Congo (Brazzaville),Sub-Saharan Africa,4.55867147445679,0.0658374801278114,8.58600616455078,5356.17919921875,54.7894706726074,0.636860966682434,0.01097178645432,0.806351065635681,0.0090939961373806,0.112148799002171,0.00698324758559465,0.803959429264069,0.00903197005391121
Congo (Kinshasa),Sub-Saharan Africa,4.24494600296021,0.0489182658493519,6.61926078796387,749.390930175781,50.4256019592285,0.769605278968811,0.0101881800219417,0.636904776096344,0.0112823825329542,0.123985461890697,0.00753286713734269,0.850198268890381,0.00783050619065762
Costa Rica,Latin America and Caribbean,7.07165431976318,0.0450115241110325,9.64099884033203,15382.701171875,69.6997146606445,0.901704072952271,0.00597079331055284,0.90538102388382,0.0065817735157907,0.274674296379089,0.00966464914381504,0.760924518108368,0.0079427408054471
Croatia,Central and Eastern Europe,5.3212103843689,0.0393935479223728,9.97769069671631,21540.51171875,67.1917419433594,0.779965579509735,0.00955595076084137,0.694128334522247,0.0104104187339544,0.264014899730682,0.00938083976507187,0.874756753444672,0.00627717887982726
Cyprus,Western Europe,5.76253366470337,0.0550975725054741,10.3434886932373,31054.1796875,72.6089935302734,0.792133808135986,0.00910595897585154,0.729775667190552,0.00966571364551783,0.422272145748138,0.0106305200606585,0.882088601589203,0.00641277898102999
Czech Republic,Central and Eastern Europe,6.71090459823608,0.0365957915782928,10.3584308624268,31521.6796875,70.8761215209961,0.914136350154877,0.00556047260761261,0.830621242523193,0.00817185547202826,0.206805914640427,0.00823170226067305,0.884560942649841,0.00595130538567901
Denmark,Western Europe,7.55527782440186,0.0346894301474094,10.7363958358765,45999.9609375,71.3122711181641,0.955462276935577,0.00448581855744123,0.948895275592804,0.00469476310536265,0.579054057598114,0.0105848722159863,0.193662241101265,0.00805256422609091
Dominican Republic,Latin America and Caribbean,5.30177211761475,0.0631237626075745,9.54977321624756,14041.509765625,63.335277557373,0.894284009933472,0.00609671277925372,0.860594034194946,0.00730441510677338,0.230584472417831,0.0087859695777297,0.751462996006012,0.00766552938148379
Ecuador,Latin America and Caribbean,5.97318077087402,0.0523909777402878,9.2526388168335,10432.0576171875,67.1464920043945,0.849092364311218,0.00726242968812585,0.84197986125946,0.00781758315861225,0.198478400707245,0.00839835498481989,0.724856436252594,0.00849799904972315
Egypt,Middle East and North Africa,4.41917705535889,0.0464660301804543,9.2404956817627,10306.1455078125,61.4129257202148,0.724412739276886,0.00926284212619066,0.636678874492645,0.0103213153779507,0.164250925183296,0.00749530643224716,0.749844431877136,0.0108428476378322
El Salvador,Latin America and Caribbean,6.16678094863892,0.0538088791072369,8.98498439788818,7982.3203125,64.0954284667969,0.808451771736145,0.00832271948456764,0.761672377586365,0.00922500062733889,0.101884640753269,0.0063556837849319,0.794663727283478,0.00751709146425128
Estonia,Central and Eastern Europe,5.73922157287598,0.0388465002179146,10.251012802124,28311.201171875,67.1995620727539,0.931745052337646,0.00504908198490739,0.839159548282623,0.00789026077836752,0.232368931174278,0.00895491428673267,0.625703632831573,0.010976024903357
Ethiopia,Sub-Saharan Africa,4.35020351409912,0.0401368029415607,7.38589906692505,1613.07739257813,56.2984657287598,0.693872034549713,0.00995718967169523,0.754294395446777,0.00952132046222687,0.220371320843697,0.00882690120488405,0.677075564861298,0.0105981538072228
Finland,Western Europe,7.63210201263428,0.032047413289547,10.5884733200073,39674.87109375,71.5175018310547,0.956149339675903,0.00392081029713154,0.94669371843338,0.00514293042942882,0.421380996704102,0.0105291679501534,0.221270054578781,0.00850802939385176
France,Western Europe,6.48931360244751,0.0404685698449612,10.5489368438721,38136.87109375,72.5889358520508,0.904789924621582,0.00720836222171783,0.811832785606384,0.00911894533783197,0.273441076278687,0.0095611996948719,0.622337937355042,0.00957727245986462
Gabon,Sub-Saharan Africa,4.75834655761719,0.0516644306480885,9.72511672973633,16732.642578125,56.7120475769043,0.78101247549057,0.0093407342210412,0.67386668920517,0.0104785775765777,0.107504159212112,0.00682144705206156,0.851480901241302,0.00755837466567755
Georgia,Commonwealth of Independent States,4.34049129486084,0.0430766046047211,9.13740253448486,9296.5859375,64.2197570800781,0.547448337078094,0.0110616041347384,0.689984619617462,0.0106799192726612,0.0720060095191002,0.00538298161700368,0.550256550312042,0.0126451831310987
Germany,Western Europe,6.96474742889404,0.0304059367626905,10.6993551254272,44327.26171875,71.0791015625,0.908021032810211,0.00633197231218219,0.867221891880035,0.00746800191700459,0.558219730854034,0.009022849611938,0.430079072713852,0.00788464955985546
Ghana,Sub-Saharan Africa,4.65697288513184,0.0553199760615826,8.29733753204346,4013.17309570313,54.6090621948242,0.671591341495514,0.0100321602076292,0.793514251708984,0.00863347016274929,0.277398496866226,0.00962194427847862,0.893568754196167,0.0057441177777946
Greece,Western Europe,5.35786056518555,0.050022829324007,10.1025638580322,24405.501953125,71.6477432250977,0.796696245670319,0.00861196219921112,0.484304934740067,0.0108266323804855,0.0869945213198662,0.0057585178874433,0.864572703838348,0.00615811720490456
Guatemala,Latin America and Caribbean,6.38185262680054,0.058673195540905,8.90629196166992,7378.25146484375,63.14404296875,0.823568165302277,0.00806694850325584,0.882483243942261,0.00729546556249261,0.271144837141037,0.00965029466897249,0.81630265712738,0.00716197956353426
Guinea,Sub-Saharan Africa,3.96410012245178,0.054144412279129,7.50080871582031,1809.50524902344,50.6505508422852,0.629381716251373,0.0103063611313701,0.705858170986176,0.00975100137293339,0.173848122358322,0.00808224827051163,0.773457825183868,0.00867188163101673
Haiti,Latin America and Caribbean,3.58195972442627,0.0670881196856499,7.40779590606689,1648.78820800781,53.0969505310059,0.597163140773773,0.0144804790616035,0.395070165395737,0.0145787838846445,0.487097680568695,0.0148589480668306,0.755475521087646,0.0120188249275088
Honduras,Latin America and Caribbean,5.5040454864502,0.0640960335731506,8.38699722290039,4389.61669921875,63.5844612121582,0.79803603887558,0.0083032064139843,0.759944796562195,0.0090775191783905,0.260578572750092,0.0092360582202673,0.810827493667603,0.00711082387715578
Hong Kong S.A.R. of China,East Asia,5.43042850494385,0.0474098920822144,10.9095335006714,54695.32421875,,0.832682549953461,0.0101126376539469,0.815122306346893,0.0104225743561983,0.533378481864929,0.0131668830290437,0.408689230680466,0.0121316760778427
Hungary,Central and Eastern Europe,5.61998224258423,0.0402380228042603,10.1579189300537,25794.560546875,67.0195388793945,0.878176927566528,0.00686683645471931,0.59203964471817,0.0109060499817133,0.186147883534431,0.00813281256705523,0.905561029911041,0.00613510701805353
Iceland,Western Europe,7.49522590637207,0.0496599748730659,10.7111787796021,44854.48046875,72.7559814453125,0.977497398853302,0.0042138728313148,0.943218648433685,0.00709447637200356,0.6848184466362,0.014124876819551,0.691877782344818,0.012740476988256
India,South Asia,4.18981218338013,0.0241410061717033,8.71338367462158,6083.79345703125,59.2573738098145,0.610865712165833,0.00634568138048053,0.827820241451263,0.00497543253004551,0.246470808982849,0.00567455682903528,0.774644315242767,0.00501434365287423
Indonesia,Southeast Asia,5.09257841110229,0.0516234897077084,9.2843770980835,10768.4638671875,60.4364891052246,0.801868557929993,0.00848219636827707,0.826849281787872,0.00846527609974146,0.775615572929382,0.00914787780493498,0.914106369018555,0.00568671338260174
Iran,Middle East and North Africa,4.70656204223633,0.0590859167277813,9.79659938812256,17972.5234375,65.7357177734375,0.620776891708374,0.0114427069202065,0.760562419891357,0.0100493663921952,0.504222810268402,0.0115837408229709,0.708027720451355,0.010804089717567
Iraq,Middle East and North Africa,4.45563936233521,0.0745697915554047,9.64029407501221,15371.86328125,60.8644371032715,0.702425718307495,0.0112971682101488,0.629619598388672,0.011497650295496,0.278833270072937,0.0103062829002738,0.77201634645462,0.00895464885979891
Ireland,Western Europe,6.97709512710571,0.0395761393010616,11.0460948944092,62698.6328125,71.5751571655273,0.952267706394196,0.00440669246017933,0.890615284442902,0.00705216731876135,0.636513769626617,0.0103921974077821,0.382129222154617,0.00953291356563568
Israel,Middle East and North Africa,7.18999862670898,0.0341441296041012,10.3916902542114,32587.701171875,71.9549255371094,0.89108669757843,0.00656345672905445,0.764510691165924,0.00876761600375175,0.516909897327423,0.0100358547642827,0.795871078968048,0.00762637471780181
Italy,Western Europe,6.00035524368286,0.0419731326401234,10.4569396972656,34784.9375,73.7829360961914,0.918766438961029,0.00619869632646441,0.61055451631546,0.0108792912214994,0.326457053422928,0.0102574145421386,0.894133627414703,0.00587743753567338
Ivory Coast,Sub-Saharan Africa,4.67120885848999,0.0554937869310379,8.13384628295898,3407.88208007813,46.522590637207,0.661694645881653,0.0106834685429931,0.766587436199188,0.00936275627464056,0.160901173949242,0.00828256271779537,0.756601631641388,0.00935904402285814
Jamaica,Latin America and Caribbean,5.8897590637207,0.120590433478355,9.02586460113525,8315.400390625,65.8187942504883,0.915701866149902,0.0144985029473901,0.858068525791168,0.0183729436248541,0.156673923134804,0.0188669301569462,0.888890027999878,0.0139587353914976
Japan,East Asia,5.91503429412842,0.0416941531002522,10.5535173416138,38311.95703125,75.0882415771484,0.90281069278717,0.00653612706810236,0.839335978031158,0.00886109378188848,0.245056107640266,0.00945269037038088,0.670361459255219,0.0100163295865059
Jordan,Middle East and North Africa,5.16070222854614,0.0554972849786282,9.03559684753418,8396.7236328125,64.2917861938477,0.822467088699341,0.00812214426696301,0.767685294151306,0.00897372048348188,0.20645546913147,0.00826621055603027,,
